monthly_income,income_stability,bill_payment_ratio,recharge_regularity,monthly_spending,savings_ratio,transaction_frequency,payment_delay_days,spending_to_income,cashflow_consistency,risk_band
89634,7,0.44,10,41639,0.54,145,12,0.46,7,LOW
38251,8,0.6,4,68627,0.0,124,11,1.79,10,MEDIUM
35945,1,0.87,4,24692,0.31,145,6,0.69,6,MEDIUM
42217,4,0.82,7,59200,0.0,16,24,1.4,6,HIGH
18308,6,0.87,10,62415,0.0,41,11,3.41,6,HIGH
15949,9,0.71,9,23074,0.0,78,20,1.45,6,MEDIUM
61990,2,0.66,9,20549,0.6,77,3,0.33,10,LOW
11150,1,0.49,5,34963,0.0,56,26,3.14,7,HIGH
99480,10,0.6,10,57265,0.42,134,1,0.58,3,LOW
84740,2,0.66,1,21061,0.6,60,1,0.25,6,MEDIUM
76617,7,0.45,1,63226,0.17,64,4,0.83,3,HIGH
26896,3,0.53,6,33810,0.0,27,22,1.26,7,HIGH
56175,10,0.76,2,65006,0.0,107,9,1.16,7,MEDIUM
17805,2,0.84,8,27800,0.0,44,9,1.56,8,HIGH
15237,7,1.0,9,74460,0.0,68,8,4.89,2,HIGH
30056,2,0.96,4,62767,0.0,89,12,2.09,9,HIGH
55543,3,0.79,5,33054,0.4,93,6,0.6,5,MEDIUM
66556,7,0.65,8,50397,0.24,35,4,0.76,9,LOW
13343,4,0.78,3,18233,0.0,24,25,1.37,10,HIGH
23500,1,0.87,5,30068,0.0,134,9,1.28,5,HIGH
63222,5,0.47,3,70727,0.0,17,9,1.12,7,HIGH
39375,9,0.65,10,75453,0.0,126,5,1.92,9,LOW
19662,8,0.9,3,30832,0.0,107,26,1.57,4,HIGH
26964,9,0.63,3,18682,0.31,110,27,0.69,2,HIGH
69638,10,0.74,7,28383,0.59,123,18,0.41,9,LOW
83666,9,0.75,7,63160,0.25,74,20,0.75,2,MEDIUM
95067,7,0.51,7,28666,0.6,103,7,0.3,3,LOW
77215,4,0.62,10,63817,0.17,86,0,0.83,10,LOW
79042,5,0.6,8,39642,0.5,79,27,0.5,2,HIGH
23284,1,0.42,5,46830,0.0,122,16,2.01,3,HIGH
82789,1,0.41,5,15234,0.6,88,6,0.18,6,MEDIUM
94664,3,0.9,4,62616,0.34,73,13,0.66,3,HIGH
71389,8,0.56,7,14221,0.6,63,20,0.2,10,LOW
19435,2,0.71,10,16410,0.16,130,29,0.84,8,HIGH
64340,4,0.58,4,66413,0.0,115,20,1.03,6,HIGH
54078,2,0.96,2,6051,0.6,66,16,0.11,7,MEDIUM
88832,5,0.56,4,61563,0.31,148,8,0.69,1,HIGH
61293,9,0.66,8,49757,0.19,132,16,0.81,3,MEDIUM
88781,1,0.92,9,56257,0.37,109,4,0.63,3,MEDIUM
70403,5,0.91,3,5307,0.6,72,25,0.08,2,MEDIUM
39124,9,0.51,7,61889,0.0,19,24,1.58,7,HIGH
53919,1,0.88,9,73895,0.0,39,29,1.37,9,HIGH
45247,9,0.67,4,40944,0.1,18,30,0.9,4,HIGH
72752,8,0.69,10,43134,0.41,106,19,0.59,5,LOW
66573,4,0.48,3,32323,0.51,104,28,0.49,3,HIGH
69101,10,0.45,5,76762,0.0,11,7,1.11,9,LOW
36646,5,0.84,1,30954,0.16,34,5,0.84,4,MEDIUM
33049,5,0.7,3,60021,0.0,53,10,1.82,5,HIGH
89605,6,0.66,8,75427,0.16,148,30,0.84,1,HIGH
78385,7,0.84,8,9992,0.6,115,18,0.13,2,LOW
50158,8,0.86,4,6961,0.6,76,3,0.14,9,LOW
75417,8,0.5,2,17497,0.6,84,17,0.23,2,MEDIUM
33289,2,0.77,8,37551,0.0,87,0,1.13,5,MEDIUM
19823,9,0.48,8,60755,0.0,46,12,3.06,8,HIGH
70160,7,0.85,10,18255,0.6,21,13,0.26,3,LOW
51975,4,0.79,4,9567,0.6,11,23,0.18,6,MEDIUM
19540,4,0.97,3,53847,0.0,14,0,2.76,4,HIGH
26364,8,0.44,2,53003,0.0,38,29,2.01,7,HIGH
14611,4,0.43,9,25389,0.0,40,28,1.74,10,HIGH
37663,6,0.57,1,49523,0.0,10,10,1.31,3,HIGH
61991,5,0.56,7,66576,0.0,138,16,1.07,6,HIGH
67679,3,0.55,5,48919,0.28,33,3,0.72,10,MEDIUM
40977,10,0.94,8,8358,0.6,130,25,0.2,9,LOW
59115,2,0.55,4,10698,0.6,85,11,0.18,10,MEDIUM
98223,9,0.56,7,71809,0.27,79,9,0.73,1,MEDIUM
70890,10,0.86,5,60805,0.14,30,30,0.86,3,HIGH
76387,9,0.67,5,36349,0.52,131,5,0.48,2,LOW
28071,1,0.87,9,55248,0.0,119,24,1.97,8,HIGH
69275,10,0.44,9,49041,0.29,130,0,0.71,7,LOW
82369,3,0.69,9,36954,0.55,32,6,0.45,2,MEDIUM
21938,8,0.42,6,13002,0.41,135,25,0.59,6,MEDIUM
45195,6,0.44,6,74783,0.0,79,26,1.65,3,HIGH
14000,5,0.94,5,24738,0.0,82,20,1.77,8,HIGH
80588,5,0.48,9,15703,0.6,94,27,0.19,10,LOW
48304,6,0.72,10,54422,0.0,25,30,1.13,3,HIGH
79449,7,0.65,8,66899,0.16,58,15,0.84,10,LOW
92986,1,0.61,7,17392,0.6,107,23,0.19,9,MEDIUM
99643,9,0.94,7,49724,0.5,63,13,0.5,1,LOW
30764,3,0.41,6,37299,0.0,76,22,1.21,5,HIGH
96027,4,0.8,5,20641,0.6,24,19,0.21,3,MEDIUM
48494,10,0.98,4,11305,0.6,116,19,0.23,6,LOW
13373,1,0.74,3,23782,0.0,63,5,1.78,10,HIGH
22161,10,0.96,3,25566,0.0,75,21,1.15,2,HIGH
37350,3,0.43,6,72766,0.0,141,24,1.95,9,HIGH
35351,2,0.65,4,11511,0.6,113,27,0.33,6,HIGH
98668,2,0.56,6,31177,0.6,133,4,0.32,7,LOW
25305,1,0.84,3,9765,0.6,60,23,0.39,5,HIGH
85353,8,0.99,4,25354,0.6,39,20,0.3,9,LOW
86797,3,0.55,9,28929,0.6,127,17,0.33,1,MEDIUM
75953,3,0.79,5,33820,0.55,135,14,0.45,5,MEDIUM
67458,6,0.52,7,34523,0.49,108,5,0.51,10,LOW
30358,8,0.74,10,76088,0.0,11,24,2.51,6,HIGH
13267,9,0.68,2,71163,0.0,31,28,5.36,7,HIGH
92745,9,0.98,5,18780,0.6,5,18,0.2,4,LOW
99588,4,0.77,9,11589,0.6,91,0,0.12,1,LOW
48513,5,0.61,3,39812,0.18,45,0,0.82,8,MEDIUM
36092,2,0.47,9,50939,0.0,127,12,1.41,10,HIGH
21338,9,0.49,6,56493,0.0,79,2,2.65,4,HIGH
10412,8,0.54,4,45953,0.0,46,9,4.41,3,HIGH
17543,3,0.55,7,70785,0.0,121,20,4.03,7,HIGH
43496,9,0.91,8,24309,0.44,67,2,0.56,2,LOW
70692,3,0.74,6,59195,0.16,131,8,0.84,8,MEDIUM
99084,9,0.71,5,30901,0.6,137,7,0.31,6,LOW
54425,2,0.47,6,28576,0.47,52,2,0.53,7,MEDIUM
48756,10,0.92,5,36508,0.25,7,24,0.75,5,MEDIUM
28888,9,0.83,8,79711,0.0,120,30,2.76,9,HIGH
45735,8,0.44,1,30464,0.33,103,12,0.67,5,MEDIUM
57295,9,0.82,7,65281,0.0,120,5,1.14,5,LOW
93042,5,0.73,10,21260,0.6,18,12,0.23,3,LOW
95999,2,0.45,10,40440,0.58,116,22,0.42,1,HIGH
27955,8,0.67,2,61683,0.0,65,19,2.21,2,HIGH
47841,6,0.69,9,46430,0.03,99,19,0.97,8,MEDIUM
80640,8,0.5,1,6987,0.6,21,11,0.09,1,MEDIUM
75510,5,0.97,10,30105,0.6,128,12,0.4,7,LOW
44911,10,0.91,6,18026,0.6,28,1,0.4,5,LOW
69031,2,0.8,9,73309,0.0,120,20,1.06,3,HIGH
98726,6,0.68,1,50927,0.48,86,23,0.52,7,HIGH
17357,5,0.65,4,62535,0.0,54,22,3.6,9,HIGH
42479,5,0.79,4,47946,0.0,83,15,1.13,2,HIGH
71476,1,0.73,9,61561,0.14,83,22,0.86,8,HIGH
54811,2,0.44,5,15377,0.6,74,5,0.28,9,LOW
46208,8,0.71,5,58592,0.0,31,18,1.27,3,HIGH
30150,3,0.88,6,12347,0.59,19,20,0.41,2,HIGH
81180,10,0.68,1,38776,0.52,54,12,0.48,7,LOW
53286,3,0.43,1,8783,0.6,40,16,0.16,5,HIGH
78450,8,0.87,9,60798,0.23,12,22,0.77,5,MEDIUM
31352,8,0.52,3,9298,0.6,83,8,0.3,10,LOW
65069,2,0.56,4,75204,0.0,135,16,1.16,5,HIGH
24397,8,0.5,1,60161,0.0,51,28,2.47,4,HIGH
51555,1,0.6,9,65652,0.0,109,1,1.27,5,HIGH
56959,6,0.85,8,39484,0.31,102,18,0.69,4,MEDIUM
10728,8,0.71,2,25922,0.0,100,18,2.42,6,HIGH
60517,3,0.52,8,39028,0.36,120,23,0.64,4,HIGH
76234,8,0.93,7,25316,0.6,17,6,0.33,2,LOW
49954,1,0.93,6,21968,0.56,5,21,0.44,9,MEDIUM
57280,9,0.92,1,35266,0.38,38,30,0.62,2,HIGH
89459,9,0.54,7,29000,0.6,83,9,0.32,9,LOW
26779,5,0.67,10,19011,0.29,82,9,0.71,10,LOW
73932,10,0.99,7,7866,0.6,125,26,0.11,6,LOW
82936,4,0.86,9,10898,0.6,97,19,0.13,9,LOW
34466,6,0.42,1,23395,0.32,102,8,0.68,9,MEDIUM
46939,7,0.44,2,44019,0.06,86,16,0.94,3,HIGH
79896,5,0.68,9,9006,0.6,42,26,0.11,1,MEDIUM
45270,10,0.95,9,39393,0.13,18,14,0.87,1,LOW
69163,9,0.72,6,15956,0.6,140,1,0.23,3,LOW
92637,3,0.7,6,55042,0.41,95,30,0.59,5,HIGH
61934,7,0.46,4,11078,0.6,58,29,0.18,3,HIGH
74895,10,0.79,4,34631,0.54,134,3,0.46,9,LOW
42307,10,0.89,5,67901,0.0,105,18,1.6,9,MEDIUM
64098,5,0.63,3,74497,0.0,93,16,1.16,3,HIGH
70921,7,0.87,1,46574,0.34,60,4,0.66,3,MEDIUM
15486,2,0.98,1,36417,0.0,98,6,2.35,5,HIGH
18335,4,0.52,7,70006,0.0,97,17,3.82,2,HIGH
96900,2,0.71,1,44454,0.54,88,20,0.46,6,HIGH
99112,7,0.57,1,6587,0.6,89,21,0.07,7,MEDIUM
21130,2,0.88,3,59710,0.0,26,26,2.83,9,HIGH
97508,1,0.75,10,23816,0.6,39,6,0.24,6,LOW
70566,9,0.78,4,34432,0.51,20,16,0.49,3,LOW
76703,1,0.88,4,53617,0.3,54,6,0.7,5,HIGH
37192,8,0.64,2,77373,0.0,126,3,2.08,4,HIGH
11062,2,0.95,1,39217,0.0,132,7,3.55,5,HIGH
94076,8,0.72,3,25884,0.6,117,12,0.28,8,LOW
99780,3,0.49,4,10454,0.6,21,3,0.1,8,LOW
31545,6,0.82,3,79960,0.0,84,5,2.53,6,HIGH
31689,3,0.88,8,48618,0.0,134,24,1.53,1,HIGH
21174,7,0.59,10,67671,0.0,136,4,3.2,8,HIGH
98461,10,0.91,1,52111,0.47,89,29,0.53,8,MEDIUM
19348,9,0.94,2,44613,0.0,98,11,2.31,2,HIGH
33714,2,0.57,7,64993,0.0,138,3,1.93,4,HIGH
48102,5,0.99,4,13848,0.6,85,23,0.29,2,MEDIUM
84460,6,0.48,8,71125,0.16,73,28,0.84,4,HIGH
99930,4,0.52,3,66602,0.33,73,8,0.67,10,MEDIUM
16801,4,0.51,6,77045,0.0,20,3,4.59,7,HIGH
82267,4,0.94,9,47222,0.43,55,18,0.57,9,LOW
58136,2,0.79,1,54223,0.07,109,23,0.93,8,HIGH
33625,4,0.49,1,70333,0.0,70,13,2.09,9,HIGH
92873,1,0.66,8,57732,0.38,13,4,0.62,8,MEDIUM
82592,6,0.77,3,54420,0.34,111,17,0.66,2,HIGH
87052,1,0.45,5,7462,0.6,104,9,0.09,7,MEDIUM
54261,10,0.93,1,14460,0.6,90,24,0.27,2,MEDIUM
11542,6,0.88,5,14275,0.0,68,18,1.24,2,HIGH
31677,1,0.7,6,18269,0.42,26,11,0.58,4,HIGH
56732,6,0.98,8,70942,0.0,114,17,1.25,1,HIGH
60343,10,0.65,3,77920,0.0,101,16,1.29,5,HIGH
49081,8,0.99,3,27553,0.44,22,29,0.56,6,MEDIUM
72856,2,0.8,10,29366,0.6,75,23,0.4,9,MEDIUM
98858,2,0.78,9,49036,0.5,131,10,0.5,10,LOW
29065,4,0.5,4,22369,0.23,101,2,0.77,8,MEDIUM
93460,3,0.93,4,16795,0.6,5,22,0.18,2,HIGH
98092,4,0.66,7,75021,0.24,136,16,0.76,1,HIGH
64693,7,0.5,2,73154,0.0,8,0,1.13,2,HIGH
36962,1,0.41,8,35143,0.05,129,14,0.95,7,HIGH
38295,6,0.74,6,34425,0.1,86,27,0.9,4,HIGH
23807,3,0.72,3,10368,0.56,31,8,0.44,10,LOW
52348,10,0.83,9,9621,0.6,63,14,0.18,5,LOW
36432,7,0.93,5,63829,0.0,36,27,1.75,7,HIGH
93285,10,0.45,8,65294,0.3,32,23,0.7,3,MEDIUM
67854,2,0.84,7,19719,0.6,110,27,0.29,10,MEDIUM
50262,2,0.51,8,34227,0.32,109,28,0.68,2,HIGH
47080,4,0.91,7,12566,0.6,74,2,0.27,7,LOW
11324,1,0.89,3,17306,0.0,66,21,1.53,5,HIGH
45909,3,0.72,2,58822,0.0,38,26,1.28,1,HIGH
99339,9,0.83,7,29042,0.6,91,18,0.29,1,LOW
29870,7,0.59,3,20086,0.33,118,12,0.67,9,MEDIUM
44578,7,0.68,3,22387,0.5,110,11,0.5,5,MEDIUM
82124,4,0.89,2,32042,0.6,60,19,0.39,1,HIGH
36790,2,0.68,4,56618,0.0,117,0,1.54,7,HIGH
35289,4,0.61,8,23323,0.34,17,20,0.66,9,MEDIUM
65129,6,0.7,1,23019,0.6,22,16,0.35,1,HIGH
25485,3,0.9,1,45863,0.0,117,12,1.8,10,HIGH
54482,1,0.6,5,15283,0.6,43,0,0.28,4,MEDIUM
96188,8,0.5,5,23279,0.6,83,9,0.24,3,LOW
14748,5,0.83,1,51999,0.0,34,14,3.53,5,HIGH
96769,5,0.9,6,67780,0.3,102,26,0.7,7,MEDIUM
19435,4,0.46,1,27908,0.0,62,26,1.44,8,HIGH
13709,6,0.54,5,66584,0.0,71,29,4.86,2,HIGH
40355,3,0.49,9,55225,0.0,75,6,1.37,7,HIGH
65771,9,0.61,5,42952,0.35,110,27,0.65,1,HIGH
67799,5,0.67,6,42663,0.37,11,21,0.63,7,MEDIUM
23116,3,0.85,8,66381,0.0,44,17,2.87,8,HIGH
35470,1,0.79,1,52929,0.0,74,15,1.49,2,HIGH
52344,10,0.77,2,14343,0.6,72,13,0.27,9,LOW
52918,6,0.61,9,44791,0.15,53,26,0.85,1,HIGH
62224,2,0.9,3,34134,0.45,56,27,0.55,6,HIGH
49298,3,0.68,6,52101,0.0,118,17,1.06,1,HIGH
90219,1,0.99,5,74443,0.17,111,26,0.83,3,HIGH
71629,9,0.78,2,62530,0.13,33,6,0.87,6,MEDIUM
76040,8,0.48,7,51799,0.32,82,16,0.68,3,MEDIUM
38016,2,0.81,4,9827,0.6,13,28,0.26,8,HIGH
33960,8,0.6,1,67653,0.0,80,17,1.99,5,HIGH
43591,9,0.81,4,18699,0.57,46,11,0.43,2,LOW
92848,1,0.44,6,10313,0.6,132,7,0.11,4,MEDIUM
77641,5,0.5,7,18598,0.6,24,21,0.24,9,MEDIUM
46395,8,0.91,7,33807,0.27,76,30,0.73,4,MEDIUM
32700,2,0.54,7,75423,0.0,69,29,2.31,10,HIGH
44620,4,0.9,3,74390,0.0,117,1,1.67,10,MEDIUM
30559,7,0.57,6,50226,0.0,28,6,1.64,8,MEDIUM
71642,3,0.79,8,64550,0.1,132,3,0.9,5,MEDIUM
86539,5,0.82,4,8558,0.6,87,17,0.1,10,LOW
31732,8,0.71,8,55113,0.0,67,27,1.74,1,HIGH
40354,10,0.58,2,57999,0.0,64,5,1.44,7,MEDIUM
23843,3,0.53,10,60878,0.0,103,26,2.55,3,HIGH
81726,4,0.42,9,41343,0.49,66,30,0.51,10,MEDIUM
27640,9,0.58,9,63219,0.0,34,8,2.29,8,MEDIUM
62528,7,0.79,8,40186,0.36,26,26,0.64,3,MEDIUM
48413,1,0.96,10,41966,0.13,130,8,0.87,1,HIGH
62638,4,0.92,10,38769,0.38,46,13,0.62,5,LOW
62736,4,0.86,1,58218,0.07,102,7,0.93,2,HIGH
78866,9,0.87,2,24229,0.6,35,30,0.31,4,MEDIUM
29087,6,0.8,6,32877,0.0,116,18,1.13,1,HIGH
51430,9,0.56,10,63001,0.0,126,2,1.22,9,LOW
34504,6,0.94,5,43084,0.0,21,17,1.25,6,HIGH
17114,6,0.8,9,21806,0.0,42,4,1.27,8,LOW
88859,5,0.74,5,42034,0.53,146,13,0.47,4,MEDIUM
20975,5,0.47,2,45317,0.0,114,27,2.16,9,HIGH
21023,2,0.67,10,60468,0.0,26,29,2.88,2,HIGH
31447,8,0.68,4,24094,0.23,60,3,0.77,9,LOW
33959,8,0.92,9,62796,0.0,123,6,1.85,5,MEDIUM
76203,1,0.73,1,15589,0.6,61,19,0.2,6,HIGH
39703,8,0.63,1,62221,0.0,39,24,1.57,3,HIGH
19337,5,0.99,7,6657,0.6,118,27,0.34,4,MEDIUM
56427,2,0.47,3,44531,0.21,129,11,0.79,6,HIGH
71529,2,0.65,10,57227,0.2,133,1,0.8,7,MEDIUM
94665,6,0.43,2,8164,0.6,56,10,0.09,1,MEDIUM
41921,9,0.84,9,46247,0.0,89,13,1.1,7,LOW
43307,1,0.95,3,24601,0.43,69,21,0.57,1,HIGH
37355,6,0.57,2,55599,0.0,133,30,1.49,5,HIGH
14835,9,0.92,8,76545,0.0,25,22,5.16,6,HIGH
30159,8,0.58,10,9552,0.6,20,15,0.32,2,LOW
57605,6,0.95,6,14417,0.6,127,19,0.25,10,LOW
48088,3,0.85,6,63579,0.0,65,28,1.32,9,HIGH
88752,8,0.88,10,73207,0.18,58,5,0.82,10,LOW
65284,9,0.41,7,77055,0.0,30,22,1.18,6,HIGH
67043,1,0.98,7,8722,0.6,84,3,0.13,7,LOW
45547,9,0.84,6,75442,0.0,69,14,1.66,10,MEDIUM
92844,6,0.58,4,45031,0.51,104,23,0.49,8,MEDIUM
37532,6,0.9,9,26438,0.3,78,24,0.7,10,LOW
44349,4,0.57,6,63819,0.0,21,0,1.44,1,HIGH
55445,1,0.92,4,48856,0.12,125,6,0.88,8,MEDIUM
15713,10,0.47,3,38576,0.0,27,24,2.46,4,HIGH
66178,8,0.82,4,46938,0.29,139,30,0.71,10,MEDIUM
59407,2,0.72,3,54028,0.09,75,11,0.91,8,HIGH
80340,1,0.46,2,64807,0.19,112,9,0.81,6,HIGH
60990,2,0.55,5,54877,0.1,83,4,0.9,9,MEDIUM
85672,1,0.41,2,48461,0.43,50,11,0.57,4,HIGH
75545,1,0.68,6,45469,0.4,82,17,0.6,2,HIGH
94791,9,0.58,3,25435,0.6,20,9,0.27,2,LOW
68141,1,0.76,6,19191,0.6,75,5,0.28,5,MEDIUM
33793,4,0.58,10,32386,0.04,100,27,0.96,10,HIGH
66570,10,0.58,9,36721,0.45,6,11,0.55,9,LOW
47892,6,0.85,1,59786,0.0,14,6,1.25,3,HIGH
11015,7,0.43,6,18704,0.0,129,17,1.7,8,HIGH
71813,2,0.94,9,61635,0.14,85,1,0.86,4,MEDIUM
37712,6,0.91,4,7123,0.6,144,9,0.19,6,LOW
18415,7,0.8,2,67993,0.0,74,14,3.69,10,HIGH
72292,10,0.76,4,30416,0.58,36,29,0.42,6,MEDIUM
33833,10,0.94,1,6814,0.6,109,11,0.2,3,LOW
14158,2,0.51,3,55258,0.0,88,25,3.9,5,HIGH
72680,2,0.45,10,21508,0.6,133,16,0.3,3,MEDIUM
30309,10,0.54,9,40699,0.0,62,3,1.34,1,MEDIUM
16970,7,0.88,10,51335,0.0,138,6,3.03,7,HIGH
82474,1,0.42,5,51806,0.37,49,29,0.63,4,HIGH
96704,8,0.75,6,68768,0.29,101,8,0.71,7,LOW
56540,3,1.0,3,40739,0.28,27,30,0.72,3,HIGH
30384,6,0.91,5,39785,0.0,27,18,1.31,5,HIGH
28017,9,0.71,8,36980,0.0,139,27,1.32,5,HIGH
85880,6,0.44,6,6609,0.6,83,26,0.08,2,HIGH
18702,9,0.9,4,71253,0.0,48,22,3.81,10,HIGH
10384,7,0.76,2,33141,0.0,31,6,3.19,2,HIGH
10404,9,0.47,9,35009,0.0,30,22,3.36,4,HIGH
50943,2,0.46,1,11782,0.6,101,1,0.23,4,MEDIUM
57926,8,0.95,1,30933,0.47,40,5,0.53,4,LOW
39189,8,0.8,4,13307,0.6,113,17,0.34,6,LOW
22763,2,0.9,7,43346,0.0,59,5,1.9,2,HIGH
28384,4,0.93,1,55772,0.0,73,12,1.96,6,HIGH
70100,7,0.74,9,77084,0.0,65,25,1.1,7,MEDIUM
19860,4,0.71,4,45149,0.0,134,18,2.27,10,HIGH
90642,4,0.66,3,32526,0.6,59,29,0.36,3,HIGH
60612,6,0.59,1,73477,0.0,126,1,1.21,8,MEDIUM
33574,10,0.66,10,10695,0.6,101,11,0.32,2,LOW
33524,6,0.86,4,44169,0.0,84,14,1.32,8,HIGH
79172,10,0.76,9,52947,0.33,91,13,0.67,5,LOW
20916,3,0.94,10,52224,0.0,42,5,2.5,2,HIGH
14809,9,0.67,6,50865,0.0,123,17,3.43,7,HIGH
42201,10,0.76,6,30553,0.28,82,4,0.72,2,LOW
63330,2,0.78,1,65410,0.0,39,17,1.03,6,HIGH
23456,6,0.76,10,29816,0.0,83,2,1.27,10,LOW
66397,7,0.82,2,60026,0.1,71,2,0.9,3,MEDIUM
48765,9,0.54,6,55705,0.0,91,21,1.14,9,MEDIUM
44816,3,0.71,2,66922,0.0,38,21,1.49,3,HIGH
55106,10,0.46,3,78914,0.0,101,9,1.43,3,HIGH
63932,3,0.63,4,6881,0.6,75,18,0.11,5,MEDIUM
27100,7,0.69,5,44567,0.0,7,2,1.64,7,MEDIUM
67091,4,0.79,9,52365,0.22,62,28,0.78,8,HIGH
31949,8,0.97,4,75122,0.0,36,11,2.35,7,HIGH
80080,7,0.76,9,30006,0.6,35,28,0.37,9,LOW
47744,5,0.85,10,46198,0.03,86,15,0.97,5,MEDIUM
55543,7,0.7,3,27831,0.5,47,16,0.5,10,LOW
46187,3,0.78,8,21459,0.54,139,6,0.46,3,MEDIUM
17239,2,0.44,1,37443,0.0,109,12,2.17,6,HIGH
24489,6,0.55,9,47316,0.0,5,23,1.93,5,HIGH
68017,2,0.62,9,69486,0.0,65,1,1.02,4,MEDIUM
71877,3,0.68,10,10877,0.6,18,3,0.15,2,LOW
53125,6,0.43,2,44553,0.16,10,9,0.84,7,HIGH
59922,5,0.48,4,9922,0.6,107,6,0.17,5,LOW
42049,8,0.57,8,9686,0.6,14,23,0.23,4,LOW
47131,9,0.98,7,37766,0.2,75,16,0.8,8,LOW
52944,3,0.6,1,37006,0.3,94,19,0.7,9,HIGH
83963,10,0.69,5,36422,0.57,130,5,0.43,9,LOW
34285,3,0.52,7,17205,0.5,101,18,0.5,3,HIGH
47626,3,0.77,4,28527,0.4,78,4,0.6,3,MEDIUM
52808,6,0.57,1,23443,0.56,119,9,0.44,5,MEDIUM
98464,1,0.52,9,21524,0.6,55,8,0.22,5,MEDIUM
63871,7,0.71,5,33202,0.48,60,26,0.52,10,MEDIUM
29198,1,0.4,2,70552,0.0,45,12,2.42,2,HIGH
29758,5,0.4,8,51142,0.0,36,18,1.72,1,HIGH
25254,10,0.53,2,66692,0.0,19,20,2.64,8,HIGH
54238,8,0.42,3,25855,0.52,66,23,0.48,3,HIGH
11252,4,0.46,10,65372,0.0,32,5,5.81,1,HIGH
49764,5,0.6,1,30095,0.4,68,3,0.6,1,HIGH
87709,4,0.88,2,43724,0.5,134,23,0.5,2,HIGH
47441,4,0.74,7,54241,0.0,131,26,1.14,6,HIGH
63682,8,0.71,10,57003,0.1,40,2,0.9,6,LOW
69494,2,0.58,2,73379,0.0,118,2,1.06,3,HIGH
91317,1,0.96,6,20972,0.6,17,3,0.23,4,LOW
75215,3,0.64,3,27927,0.6,19,24,0.37,2,HIGH
88587,9,0.45,4,71630,0.19,93,4,0.81,2,MEDIUM
16949,4,0.77,8,57347,0.0,26,7,3.38,7,HIGH
65393,10,0.47,3,74518,0.0,78,15,1.14,1,HIGH
83553,5,0.61,10,50283,0.4,29,21,0.6,7,MEDIUM
16941,2,0.7,6,17205,0.0,105,2,1.02,1,HIGH
35934,4,0.92,1,17748,0.51,121,30,0.49,6,HIGH
33386,2,0.7,7,26097,0.22,45,23,0.78,3,HIGH
71886,2,0.82,8,8092,0.6,92,11,0.11,8,LOW
85745,4,1.0,8,58311,0.32,114,24,0.68,6,MEDIUM
93251,6,0.48,3,27692,0.6,124,7,0.3,2,MEDIUM
63413,7,0.56,10,28862,0.54,101,12,0.46,8,LOW
66800,10,0.64,1,75469,0.0,149,3,1.13,5,MEDIUM
52318,3,0.65,9,9926,0.6,61,13,0.19,8,LOW
80173,3,0.65,6,8969,0.6,134,13,0.11,8,LOW
80390,10,0.94,9,40733,0.49,100,12,0.51,6,LOW
62329,6,0.83,7,74855,0.0,125,26,1.2,2,HIGH
53088,3,0.76,1,46743,0.12,66,5,0.88,8,HIGH
49811,2,0.59,1,44876,0.1,141,16,0.9,6,HIGH
65479,8,0.89,6,25323,0.6,72,3,0.39,6,LOW
95392,5,0.97,5,21428,0.6,85,7,0.22,8,LOW
97369,1,0.89,9,39578,0.59,21,16,0.41,1,MEDIUM
29963,3,0.4,2,69140,0.0,121,2,2.31,2,HIGH
65123,10,0.78,8,11364,0.6,54,16,0.17,9,LOW
83477,8,0.43,5,40349,0.52,116,8,0.48,8,LOW
24388,4,0.55,2,5691,0.6,98,1,0.23,7,LOW
15569,7,0.44,10,71467,0.0,89,24,4.59,7,HIGH
79836,10,0.76,6,50896,0.36,78,12,0.64,5,LOW
46586,2,0.81,10,62062,0.0,113,19,1.33,2,HIGH
22015,7,0.47,8,18861,0.14,149,1,0.86,6,LOW
55002,5,0.63,4,68928,0.0,22,19,1.25,10,HIGH
16254,5,0.67,2,46347,0.0,46,27,2.85,3,HIGH
27144,6,0.62,5,8121,0.6,105,10,0.3,4,LOW
34214,9,0.47,2,33164,0.03,49,26,0.97,10,HIGH
90719,6,0.65,2,30491,0.6,86,25,0.34,2,HIGH
81774,8,0.85,6,64222,0.21,21,21,0.79,2,MEDIUM
16090,7,0.44,10,28165,0.0,77,14,1.75,8,MEDIUM
21637,9,0.45,9,8748,0.6,18,10,0.4,8,LOW
32415,4,0.61,4,31553,0.03,136,22,0.97,10,HIGH
34071,2,0.97,6,65380,0.0,86,2,1.92,6,HIGH
68243,7,0.8,7,49331,0.28,124,2,0.72,5,LOW
51240,6,0.81,6,44560,0.13,124,27,0.87,8,HIGH
93807,1,0.62,8,58865,0.37,51,25,0.63,4,HIGH
43434,9,0.76,4,51686,0.0,111,11,1.19,4,MEDIUM
79724,9,0.41,1,9675,0.6,112,23,0.12,5,MEDIUM
85697,2,0.78,7,71706,0.16,13,4,0.84,1,HIGH
38732,3,0.95,3,15068,0.6,83,19,0.39,1,HIGH
21314,5,0.77,6,59460,0.0,19,6,2.79,2,HIGH
33954,5,0.92,2,51418,0.0,23,6,1.51,8,HIGH
67108,1,0.83,9,31206,0.53,94,12,0.47,7,MEDIUM
97044,8,0.47,1,5287,0.6,30,8,0.05,10,LOW
97505,8,0.94,6,27337,0.6,96,24,0.28,9,LOW
46668,4,0.44,6,25666,0.45,86,20,0.55,5,HIGH
